<<<<<<< HEAD
Band Name,Genre,Country,Band Website,BA URL,Description,Video URL
THE ARSON PROJECT,POWERVIOLENCE GRIND SLUDGE,Sweden,https://www.facebook.com/thearsonproject/,https://www.brutalassault.cz/cs/band/the-arson-project,"yl: POWERVIOLENCE/GRIND/SLUDGE 
 oficiální stránky
Koncem roku 2016 jsme se dočkali oznámení o novém album švédských sludge/grindcoristů THE ARSON PROJECT, ve kterém stálo, že se nám dostane 23 minut přímého neurvalého audio násilí. A tak se tak se také stalo! Nyní toto kvarteto z Malmö přijíždí šířit své špínou nasáklé tóny skrze jejich agresivní hudbu také na Brutal Assault!
",No Video
AZUSA,PROGRESSIVE METAL,United States,https://www.facebook.com/AzusaBand/,https://www.brutalassault.cz/cs/band/azusa,"ates
Styl: PROGRESSIVE METAL
 oficiální stránky
Jakým způsobem navázat na tak zásadní kapelu jakou byli The Dillinger Escape Plan? Pro basáka Liama Wilsona byla odpověď jasná, opět roztrhat učebnice žánrových pouček a přijít s další formací plnou výrazných individualit. Tak se zrodila AZUSA, kapela s repertoárem plným nečekaných zvratů a vzdorující klišovitým očekáváním. AZUSA nachází sílu ve zranitelnosti, harmonii v disonanci a melodii v nesouzvuku. 
",//www.youtube.com/embed/7Hu8smmX_BU
BATUSHKA,BLACK METAL,Poland,https://www.facebook.com/Batushkaband/,https://www.brutalassault.cz/cs/band/batushka,"yl: BLACK METAL
 oficiální stránky
Kolem této polské skupiny je obmotán závoj tajemství.. BATUSHKA, to je víc než jen pouhá muzika, je to anti-mše. Náboženský rituál znesvěcující svaté zvyklosti, intenzivní riffy se plíží jako stíny, zatímco potemnělou gradující atmosféru zdobí excelentní hráčské výkony, podkreslené živým chórem.. Připravte se na nesvatou mši, která vás opět zanechá beze slov..
",//www.youtube.com/embed/B7av_o99Pwg
CAR BOMB,MATHCORE,United States,http://www.carbombcult.com,https://www.brutalassault.cz/cs/band/car-bomb,"ates
Styl: MATHCORE
 oficiální stránky
CAR BOMB představují metalcore jako opravdový výbuch nesmírné agresivity a invence, neustále atakující vaše smysly. Hudba CAR BOMB je nepříjemná, bolí, neustále posluchače intrikuje, mate, nutí ho se soustředit a zároveň ho dezorientuje, což je ovšem podloženo vynikajícími hráčskými výkony. Přijde se ztrestat festivalovým debutem těchto šílenců z Long Islandu! 
",//www.youtube.com/embed/z2cZv92KkXs
CARCASS,DEATH METAL,United Kingdom,https://www.facebook.com/OfficialCarcass/,https://www.brutalassault.cz/cs/band/carcass,"ngdom
Styl: DEATH METAL
 oficiální stránky
						Jak sami CARCASS rádi s humorem připomínají, jsou patrně nejvlivnější kapelou z liverpoolské Mercyside od dob Beatles. Každé album CARCASS je klasikou, patřící k tomu nejlepšímu ve svém žánru, který často pomáhalo definovat. Ať už u gore-grindových Reek of Putrefaction a Symphonies of Sickness nebo v případě melodického death metalu s Heartwork, CARCASS vždy kráčeli před svojí dobou. Po obnovení kapely po 11-ti leté pauze v roce 2007 kapela začala opět čerpat inspiraci z davů fanoušků na reunionových koncertech, což vedlo ke složení zatím posledního alba s výmluvným názvem Surgical Steel. Album jasně dokázala, že kapela naplno chytila druhou mízu a jejich koncert na BA 2019 bude patřit ke zlatým hřebům festivalu.
						
					",No Video
CARPENTER BRUT,SYNTHWAVE,France,https://carpenterbrut.com/,https://www.brutalassault.cz/cs/band/carpenter-brut,"yl: SYNTHWAVE
 oficiální stránky
CARPENTER BRUT se inspirují estetikou b-čkových filmů - zejména z osmdesátkových slasher flicků, jejichž atmosféru zhudebňují pomocí temné retro synthwave muziky, jakou z BA znáte třeba od Perturbatora. Into the brutagram!
",//www.youtube.com/embed/er416Ad3R1g
CASPIAN,POST ROCK,United States,http://caspianmusic.net/,https://www.brutalassault.cz/cs/band/caspian,"ates
Styl: POST-ROCK
 oficiální stránky
Američtí CASPIAN resonují se všemi smysly a jsou už patnáct let stálicí na post-rockové scéně. Zároveň patří k tomu nejlepšímu, co tento žánr přináší živě a tak se můžete těšit na relaxující ale živelnou show uprostřed brutalovského ruchu.
",//www.youtube.com/embed/AdPJACONTn4
COMBICHRIST,AGGROTECH METAL INDUSTRIAL,Norway,https://www.facebook.com/combichrist/,https://www.brutalassault.cz/cs/band/combichrist,"yl: AGGROTECH METAL INDUSTRIAL
 oficiální stránky
Norsko-americký elektro-metal projekt COMBICHRIST je mnohým fanouškům znám jako pekelný mix industriálního a metalového šílenství, který předčil Rammstein v roli support na jejich turné v jejich vlastních žánrových vodách. Nyní se vrací na BA vyvolat pozdvižení svým aggrotech zvukem.
",//www.youtube.com/embed/kRa3BU5bl-s
THE CONTORTIONIST,PROGRESSIVE METAL,United States,https://www.facebook.com/thecontortionist/,https://www.brutalassault.cz/cs/band/the-contortionist,"ates
Styl: PROGRESSIVE METAL
 oficiální stránky
Zasněné hudební krajiny malované těmi nejjemnějšími nuancemi. Kopce nekonečných představ postavené kámen po kameni tím nejryzejším talentem. THE CONTORTIONIST představují nebojácnost napříč hudebními žánry, které těší muzikanty, stejně jako publikum. Tato kapela, libující si v progresivní hudbě, ukotvené v hutném zvuku nedbá na jakékoliv konvence a srší nepřeberným množstvím originálních nápadů. Občas přijde čas, kdy si člověk potřebuje oddychnout a odpočinout si. A přesně proto jsou tu THE CONTORTIONIST, kteří vám k tomu pomohou.
",No Video
COUNTING HOURS,DEPRESSIVE DARK ROCK,Finland,https://www.facebook.com/Countinghours2/,https://www.brutalassault.cz/cs/band/counting-hours,"tyl: DEPRESSIVE DARK ROCK
 oficiální stránky
Depresivně potemnělý rock jak jej umí snad jen v zmei tisíce jezer. Nechte se unést naprosto pohlcující atmosférou autenticky dusné a skličuíjcí atmosféry hudby COUNTING HOURS.
",//www.youtube.com/embed/m2qkVc7QvN0
COVEN,PSYCHEDELIC ROCK,United States,https://www.facebook.com/TheOfficialCoven/,https://www.brutalassault.cz/cs/band/coven,"ates
Styl: PSYCHEDELIC ROCK
 oficiální stránky
Je nám obrovskou ctí představit legendy psychedelického rocku, kapelu plnou čarodějnictví, obklopenou mystickou magií, původem z Chicaga - COVEN! Jinx Dawnson přivedla na konci roku 2016 novou koncertní sestavu a vdechla kapele nový život, díky němuž může opět praktikovat sabaty po celém světě. COVEN jako první kapela přinesli v šedesátých letech do rockové hudby parohy, okultní texty a známky satanismu ještě v dobách, kdy Black Sabbath hráli po barech bluesové cover verze. Zároveň jsou první kapelou se satanistickou tématikou, která prorazila do předních hudebních žebříčků. Je nám ctí oznámit, že Brutal Assault bude letos jedním z těch mála míst, které COVEN znectí svojí černou mší! 
",No Video
CRYSTAL LAKE,METALCORE,Japan,http://crystallake.jp,https://www.brutalassault.cz/cs/band/crystal-lake,"l: METALCORE
 oficiální stránky
Japonská metalcorová senzace poprvé na BA!
",//www.youtube.com/embed/yjr9TZjTqIM
CULT OF LUNA,POST METAL,Sweden,https://www.cultofluna.com,https://www.brutalassault.cz/cs/band/cult-of-luna,"yl: POST-METAL
 oficiální stránky
						Paranoidně zkouřený sludge s odkazem na doom metalové počátky nebojící se absorbovat spalující samply se pomalu vytratil, duch kapely ovšem zůstává. Hudba CULT OF LUNA je ohromně uvěřitelná, každičká skladba je do nejmenších detailů promyšlená, nic nechybí, nic nepřebývá. Koho baví rozplétat, pronikat a hledat, určitě nebude zklamán, objevovat je pořád co. Každý nový poslech přináší nové dárečky s černou stuhou... Nervózní rytmika dává jistý základ pro zlostně vybuchující kytary, které se uklidní jen a jen pro toužebný klid před bouří. Šílený řev korunuje instrumentální základ, elektronika, která je mnohdy zdařile poschovávaná, leč dokonale dotváří neopakovatelnou atmosféru. Přidejte niterné melodie, dokonale zvládnuté aranže popírají jakoukoliv zajetou šablonu, a dostanete unikátní mix, díky kterému se CULT OF LUNA můžou smělě postavit mezi velikány post-metalu, navíc jako kapela, která nikdy nezůstala stát na místě. Nenechte si ujít jednu z velice vzácných příležitostí vidět tuhle kapelu v roce 2019 živě!
",No Video
CYTOTOXIN,SLAMING BRUTAL DEATH,Germany,http://www.cytotoxin.de,https://www.brutalassault.cz/cs/band/cytotoxin,"tyl: SLAMING BRUTAL DEATH
 oficiální stránky
						26. duben 1986, Pripjať, Ukrajina. Událost, která změnila svět a inspirovala jednu vysoce radioaktivní německou kapelu.. Nehoda v Černobylské jaderné elektrárně prochází jako červená nit tvorbou CYTOTOXIN a jako palivová zasunutá do jaderného reaktoru spouští reakci drtícího death metalu a skazek ze zamořené zóny.. Před touhle radioaktivní směsí vás neochrání ani tlusté stěny josefovské pevnosti, připravte se na bombardování vašich buněk masivním množstvím technického death metalu a podlehněte ozáření CYTOTOXINem...
",//www.youtube.com/embed/JgH9vYpBB8k
DAUGHTERS,NOISE ROCK,United States,https://www.daughtersofficial.com,https://www.brutalassault.cz/cs/band/daughters,"ates
Styl: NOISE ROCK
 oficiální stránky
DAUGHTERS nahráli jednu ze zásadních noiserockových desek poslední dekády. Desku, která je znepokojivě vyšinutá a nebezpečně návyková, desku, která alespoň o kousek posunuje hranice. Novinka You Won’t Get What You Want udělala z DAUGHTERS tak trochu celebrity alternativní rockové scény. Doby kultovní kapely pro pár nadšenců do divného grindcoru jsou pryč, teď se hraje ve větších klubech a na festivalech. Halovka to ale pořád není, na to muzika zůstává dostatečně divná a nepříjemná.Větší popularita jde u DAUGHTERS ruku v ruce s hudebním dospíváním, od zběsilých grindových začátků k industriálem načichlé rockové alternativě. Záliba v nepříjemných harmoniích se sice proplétá celou diskografií, ale už dávno to není o maximální intenzitě v co nejkratším čase. Novinka předvádí zatím nejširší paletu nálad na zatím nejdelší hrací době. You Won’t Get What You Want je takřka stejně dlouhá jako všechny předchozí desky dohromady a během hracího času dojde na jedovatý noise rock, progrockové a industriální experimenty, ale i na americanu načichlou Johnnym Cashem. Přijďte se přesvědčit o současné formě kapely na BA!
",No Video
DECAPITATED,DEATH METAL,Poland,https://www.decapitatedband.net/,https://www.brutalassault.cz/cs/band/decapitated,"yl: DEATH METAL
 oficiální stránky
Další uskupení netřeba představovat, zvlášť po nedávném mediálním propírání, které ani tak kapelu nezastavilo. DECAPITATED jsou stálicí nejen na polském death metalovém pantheonu, která nepřestává bavit!
",//www.youtube.com/embed/8gILuUdY2cU
DEICIDE,DEATH METAL,United States,https://www.facebook.com/OfficialDeicide/,https://www.brutalassault.cz/cs/band/deicide,"ates
Styl: DEATH METAL
 oficiální stránky
						Na konci osmdesátých let, kdy se na Floridě začal rodit death metal, se mezi jeho první průkopníky zařadili i neznabozi DEICIDE. Od těch časů sice uběhl nějaký ten pátek, což ovšem mělo na floridskou stálici pramálo vlivu. Co pár let se připomenou stylově téměř krystalicky čistým albem smrtícího kovu hodném mistrů svého oboru a ani o třicet let později nic nepolevují na svojí zběslosti. Když rouhání, tak death metal, když kacířtví, tak Glen Benton... a když death metal, tak DEICIDE, kteří se konečně představí lačnícím fanouškům Brutal Assaultu!
",//www.youtube.com/embed/rxweWH5mhK8
DEMOLITION HAMMER,THRASH METAL,United States,https://www.facebook.com/demolitionhammerofficial/,https://www.brutalassault.cz/cs/band/demolition-hammer,"ates
Styl: THRASH METAL
 oficiální stránky
Thrasheři pozor! Legendární vetráni DEMOLITION HAMMER přijíždí nastolit pořádek a srovnat věci do latě! Jedna z nejlepších thrashových kapel z New York City se vrací se novým životem vdechnutým do klasické debutní desky Tortured Existence, která představuje jeden z milníků žánru!
",//www.youtube.com/embed/PZhux8pHjkM
DESTRUCTION,THRASH METAL LEGENDS,Germany,http://www.destruction.de,https://www.brutalassault.cz/cs/band/destruction,"tyl: THRASH METAL LEGENDS
 oficiální stránky
Němečtí thrash metaloví velikáni a nosná síla Teutonic Big 4! DESTRUCTION patří k zakladatelům thrash metalu jak ho známe a pod salvou svých ostrých riffů přikovají nejednoho účastníka ke zdím Josefovské pevnosti. Kapela je momentálně ve vrcholné formě a válcuje pódia jako nikdy dřív!
",//www.youtube.com/embed/_kPfveBd_dY
DIABLO SWING ORCHESTRA,AVANT GARDE METAL,Sweden,http://www.diabloswing.com,https://www.brutalassault.cz/cs/band/diablo-swing-orchestra,"yl: AVANT-GARDE METAL
 oficiální stránky
DIABLO SWING ORCHESTRA svým lahodným mixem různých žánrů od jazzu a klasiky po prog a metal potěší nejen skalní příznivce avantgardy.
",//www.youtube.com/embed/WU1dtLsNHSQ
DR. LIVING DEAD,CROSSOVER THRASH,Sweden,http://deathfuckingthrash.com,https://www.brutalassault.cz/cs/band/dr-living-dead,"yl: CROSSOVER THRASH
 oficiální stránky
Crossover thrash nevymřel, toho jsou jasným důkazem švédští maskovaní maniaci DR. LIVING DEAD! Ti nám jasně, již před dvěma lety, ukázali se svým albem Cosmic Conqueror, že tohle není jen mejdanová kapela, ale hlavně sebranka skvělých muzikantů. Schválně jak velký circle-pit rozpoutají DR. LIVING DEAD ve vojenské pevnosti!
",//www.youtube.com/embed/Xs328I1NNqc
DÉLUGE,POST HARDCORE METAL,France,https://wearedeluge.bandcamp.com/,https://www.brutalassault.cz/cs/band/deluge,"yl: POST-HARDCORE / METAL
 oficiální stránky
Jste připraveni na ostrý mix black metalu a post-hardcoru zabalený do moderního a živého zvuku? Pak se můžete těšit na Francouze DÉLUGE,  kteří tyto žánry chytře míchají a přidavájí ambientní podtóny.
",//www.youtube.com/embed/ULUc0rxFEEQ
EKTOMORF,GROOVE GIPSY METAL,Hungary,https://www.facebook.com/EktomorfOfficial/,https://www.brutalassault.cz/cs/band/ektomorf,"tyl: GROOVE GIPSY METAL
 oficiální stránky
						Za 25 let existence si kapela kolem charismatického Zoltána Farkase vydobyla silnou reputaci a prosadila se ve světě. To je na partu kluků z malého města Mezőkovácsháza poblíž rumunských hranic úspěch ve stylu amerického snu. Samozřejmě to je vypracované a nic jim nespadlo do klína. Jsou velmi často přirovnáváni k SOULFLY, nicméně historie EKTOMORF je ještě o pět let delší. Jejich kořeny jsou jednoznačne v devadesátkovém groove metalu, ála PANTERA nebo EXHORDER, ovšem stejně jako SOULFLY i EKTOMORF do tvrdé muziky přidávají etnické vlivy. Tím se obě grupy odlišují od armády jedoucí na groove vlně.  
						
					",No Video
ELECTRIC WIZARD,DOOM STONER METAL,United Kingdom,http://www.electricfuckinwizard.com/,https://www.brutalassault.cz/cs/band/electric-wizard,"ngdom
Styl: DOOM/STONER METAL
 oficiální stránky
						Jste ready zhulený sabaťácký heavy doom? Protože přesně to vás čeká v podání současně nejvíc heavy kapely Anglie! ELECTRIC WIZARD vás protáhnou hudebně-horrorovými dimenzemi obskurních béčkových filmů, nefalšovaně prožité psychedelie, podivných sadomasochistických praktik i špínou opiových doupat. To vše za neskutečně chlupatého a vazbícího zvuku, neomylně zakořeněného v Black Sabbath.
",//www.youtube.com/embed/Jzem_-At6F4
EMPEROR,BLACK METAL,Norway,http://www.emperorhorde.com,https://www.brutalassault.cz/cs/band/emperor,"yl: BLACK METAL
 oficiální stránky
Císař temného kovu, norští EMPEROR se vrací na BA! V čele s hudebním vizionářem Ihsahnem se můžeme těšit na jednu z největší legend extrémního metalu, která nám zanechala takové poklady, jako alba In the Nightside Eclipse, Anthems to the Welkin at Dusk a další!
",//www.youtube.com/embed/Jmlhq5rtFXw
ENSIFERUM,EPIC FOLK METAL,Finland,http://www.ensiferum.com,https://www.brutalassault.cz/cs/band/ensiferum,"tyl: EPIC FOLK METAL
 oficiální stránky
Z ranku folkem inspirovaného melodického death metalu se na BA po dlouhých letech vrací jeden z pilířů tohoto žánru, finští ENSIFERUM!
",//www.youtube.com/embed/-2WqQY_xSSM
EYEHATEGOD,SLUDGE,United States,http://eyehategod.ee,https://www.brutalassault.cz/cs/band/eyehategod,"ates
Styl: SLUDGE
 oficiální stránky
EYEHATEGOD jsou již veteráni, kterým svým lousiánským mixem jižanského rocku, bluesových riffů a hardcore punku pomohli před lety definovat jak sludge jako žánr, tak zvuk neworleanské scény.
",//www.youtube.com/embed/9TGjqGa9p6U
FROG LEAP,ROCK N ROLL,Norway,https://www.youtube.com/channel/UC98tcedR6gULv8_b70WJKyw,https://www.brutalassault.cz/cs/band/frog-leap,"yl: ROCK 'N' ROLL
 oficiální stránky
Hudba je hlavně o zábavě, a právě fun factor je hlavní devízou norského mága Lea Moracchiala s jeho studiovým projektem známým na Youtube jako FROG LEAP. Tento project se nyní transformoval v živou kapelou, která vás přijede pobavit na letošní Brutal.
",//www.youtube.com/embed/TDdlteB4tGk
GET THE SHOT,METAL HARDCORE,Canada,https://www.facebook.com/gettheshothc/,https://www.brutalassault.cz/cs/band/get-the-shot,"yl: METAL HARDCORE
 oficiální stránky
Kapela z kanadského Quebecu, která od roku 2009 zuřivě plive svůj hardcore metal ve stylu Strife nebo Ringworm do tváře světa. GET THE SHOT je kapela primárně o animální hněvu na drsný svět kolem nás.
",//www.youtube.com/embed/AvuAKXgh6jA
GODFLESH,INDUSTRIAL METAL,United Kingdom,http://www.godflesh.com/,https://www.brutalassault.cz/cs/band/godflesh,"ngdom
Styl: INDUSTRIAL METAL
 oficiální stránky
						Justin K. Broadrick patří mezi největší osobnosti hudební scény. Ne možná té mainstreamové – jeho osoba se sice odpíchla v Napalm Death, s odchodem z grindové mlátičky se však jeho hudební směřování ubralo docela jiným směrem. GODFLESH jsou unikát. Na scéně industriálního metalu jim, coby jedněm z průkopníků, zaslouženě patří kultovní statut... Strojově přesné rytmy, hutné riffy a basa tak výrazná, že se v jejím zvuku doslova utopíte, a nasraný utýraný Justin Broadrick, to jsou poznávací znamení GODFLESH. Každé jejich album funguje továrna na hněv a nabízí pocit nekomfortnosti, hrubiánské nepřístupnosti a uší vytíraných šmirgl papírem se dostavuje zas a znovu.
",//www.youtube.com/embed/HfN7OR5q_xw
GOROD,MELODIC TECH DEATH,France,https://www.facebook.com/GorodOfficial/,https://www.brutalassault.cz/cs/band/gorod,"yl: MELODIC TECH DEATH
 oficiální stránky
Energických kapel není nikdy dost, proto máme v rukávu další kapelu s explozivní náloží technické, leč živelné hudby. Vloni jsme se o jejich skvělé show mohli přesvědčit na vlastní oči během turné s kapelou Beyond Creation a teď se GOROD vrací pro vaše hlavy na BA!
",//www.youtube.com/embed/WBU1H-9yvmQ
GOST,SYNTHWAVE,United States,https://www.facebook.com/gost1980s/,https://www.brutalassault.cz/cs/band/gost,"ates
Styl: SYNTHWAVE
 oficiální stránky
Mysteriózní synthwave producent, který tento svůj syňtákový projekt používá jako nástroj zhudebnění syrové atmosféry béčkových filmů osmdesátých let v kombinaci se okultní metalovou tématikou.
",//www.youtube.com/embed/PWzYY4PQcpc
GUTALAX,GOREGRIND,Czech Republic,https://www.facebook.com/GUTALAX-cz-gore-grind--116773548349011/,https://www.brutalassault.cz/cs/band/gutalax,"ublic
Styl: GOREGRIND
 oficiální stránky
						Prémiový projímavý goregrind, současně jedna z nejúspěšnějších českých kapel v zahraničí!
",//www.youtube.com/embed/dL0Mjm77yG0
HEILUNG,FOLK AMBIENT,International,http://heilung.bandcamp.com,https://www.brutalassault.cz/cs/band/heilung,"onal
Styl: FOLK-AMBIENT
 oficiální stránky
						Mezinárodní severské uskupení HEILUNG představuje zvuk doby železné a časů vikingů v severní Evropě. Kapela, pakliže můžeme o kapela v tomto případě mluvit, používá jako nástroje všemožné zvuky od tekoucí vody, chrastění lidských kostí a rekonstruovaných mečů a štítů z archeologických nálezů, rámové bubny či bronzové prsteny. Texty jsou zpracováním starodávných formulí taktéž výhradně z archeologických nálezů. Fanoušci Wardruny si přijdou na své.
",//www.youtube.com/embed/h1BsKIP4uYM
